id,user_id,submitted_by,work_package_id,shop_stream_id,date,start_time,end_time,requested_minutes,reason_code,reason_text,status,created_at,updated_at
1,1,1,1,1,2026-03-03,18:00:00,21:00:00,180,BACKLOG,,APPROVED,2026-03-03T09:00:00+00:00,2026-03-04T13:00:00+00:00
2,1,1,1,1,2026-03-17,18:00:00,19:30:00,90,OTHER,Demo user requested short OT for cleanup,PENDING,2026-03-17T09:00:00+00:00,2026-03-17T09:00:00+00:00
3,1,1,1,1,2026-03-14,18:00:00,20:00:00,120,SCHEDULE_PRESSURE,,ENDORSED,2026-03-14T09:00:00+00:00,2026-03-14T21:00:00+00:00
4,3,3,1,1,2026-03-16,18:00:00,20:30:00,150,BACKLOG,,PENDING,2026-03-16T09:00:00+00:00,2026-03-16T09:00:00+00:00
5,3,3,1,1,2026-03-11,18:00:00,21:00:00,180,MANPOWER_SHORTAGE,,APPROVED,2026-03-11T09:00:00+00:00,2026-03-12T13:00:00+00:00
6,3,3,1,1,2026-03-13,18:00:00,20:00:00,120,OTHER,Cancelled after scope reduction,CANCELLED,2026-03-13T09:00:00+00:00,2026-03-13T12:00:00+00:00
7,4,4,1,1,2026-03-18,18:00:00,22:00:00,240,AOG,,ENDORSED,2026-03-18T09:00:00+00:00,2026-03-18T21:00:00+00:00
8,4,4,1,1,2026-03-05,18:00:00,21:30:00,210,BACKLOG,,APPROVED,2026-03-05T09:00:00+00:00,2026-03-06T13:00:00+00:00
9,4,4,1,1,2026-03-10,18:00:00,20:00:00,120,OTHER,Need revised justification,REJECTED,2026-03-10T09:00:00+00:00,2026-03-11T13:00:00+00:00
10,5,5,1,1,2026-03-06,18:00:00,22:00:00,240,SCHEDULE_PRESSURE,,APPROVED,2026-03-06T09:00:00+00:00,2026-03-07T13:00:00+00:00
11,5,5,1,1,2026-03-15,18:00:00,21:00:00,180,BACKLOG,,REJECTED,2026-03-15T09:00:00+00:00,2026-03-15T21:00:00+00:00
12,7,7,1,1,2026-02-24,18:00:00,21:00:00,180,BACKLOG,,APPROVED,2026-02-24T09:00:00+00:00,2026-02-25T13:00:00+00:00
13,7,6,1,1,2026-03-04,18:00:00,22:00:00,240,BACKLOG,,APPROVED,2026-03-04T09:00:00+00:00,2026-03-05T13:00:00+00:00
14,7,6,1,1,2026-03-17,18:00:00,21:00:00,180,MANPOWER_SHORTAGE,,PENDING,2026-03-17T09:00:00+00:00,2026-03-17T09:00:00+00:00
15,7,6,1,1,2026-03-14,18:00:00,21:30:00,210,SCHEDULE_PRESSURE,,ENDORSED,2026-03-14T09:00:00+00:00,2026-03-14T21:00:00+00:00
16,7,7,1,1,2026-03-18,18:00:00,20:00:00,120,OTHER,Shift swapped,CANCELLED,2026-03-18T09:00:00+00:00,2026-03-18T12:00:00+00:00
17,8,8,1,1,2026-03-03,18:00:00,21:00:00,180,BACKLOG,,APPROVED,2026-03-03T09:00:00+00:00,2026-03-04T13:00:00+00:00
18,8,8,1,1,2026-03-12,18:00:00,21:00:00,180,OTHER,Insufficient manpower impact,REJECTED,2026-03-12T09:00:00+00:00,2026-03-12T21:00:00+00:00
19,8,8,1,1,2026-03-16,18:00:00,20:30:00,150,MANPOWER_SHORTAGE,,APPROVED,2026-03-16T09:00:00+00:00,2026-03-17T13:00:00+00:00
20,19,19,1,1,2026-03-17,18:00:00,20:00:00,120,BACKLOG,,PENDING,2026-03-17T09:00:00+00:00,2026-03-17T09:00:00+00:00
21,19,19,1,1,2026-03-11,18:00:00,20:00:00,120,BACKLOG,,APPROVED,2026-03-11T09:00:00+00:00,2026-03-12T13:00:00+00:00
22,20,20,1,1,2026-03-15,18:00:00,20:30:00,150,SCHEDULE_PRESSURE,,ENDORSED,2026-03-15T09:00:00+00:00,2026-03-15T21:00:00+00:00
23,20,20,1,1,2026-03-13,18:00:00,21:00:00,180,BACKLOG,,APPROVED,2026-03-13T09:00:00+00:00,2026-03-14T13:00:00+00:00
24,10,10,3,8,2026-03-04,18:00:00,21:00:00,180,AOG,,APPROVED,2026-03-04T09:00:00+00:00,2026-03-05T13:00:00+00:00
25,10,10,3,8,2026-03-17,18:00:00,21:00:00,180,SCHEDULE_PRESSURE,,PENDING,2026-03-17T09:00:00+00:00,2026-03-17T09:00:00+00:00
26,10,10,3,8,2026-03-15,18:00:00,21:30:00,210,BACKLOG,,ENDORSED,2026-03-15T09:00:00+00:00,2026-03-15T21:00:00+00:00
27,10,10,3,8,2026-03-12,18:00:00,20:30:00,150,BACKLOG,,APPROVED,2026-03-12T09:00:00+00:00,2026-03-13T13:00:00+00:00
28,11,11,3,8,2026-02-26,18:00:00,21:00:00,180,AOG,,APPROVED,2026-02-26T09:00:00+00:00,2026-02-27T13:00:00+00:00
29,11,11,3,8,2026-03-06,18:00:00,21:00:00,180,MANPOWER_SHORTAGE,,APPROVED,2026-03-06T09:00:00+00:00,2026-03-07T13:00:00+00:00
30,11,11,3,8,2026-03-16,18:00:00,21:00:00,180,OTHER,Admin requested evidence of AOG impact,REJECTED,2026-03-16T09:00:00+00:00,2026-03-17T13:00:00+00:00
31,10,10,3,8,2026-02-28,18:00:00,20:00:00,120,BACKLOG,,APPROVED,2026-02-28T09:00:00+00:00,2026-03-01T13:00:00+00:00
32,13,13,2,5,2026-03-04,18:00:00,21:00:00,180,SCHEDULE_PRESSURE,,APPROVED,2026-03-04T09:00:00+00:00,2026-03-05T13:00:00+00:00
33,13,13,2,5,2026-03-17,18:00:00,21:00:00,180,BACKLOG,,PENDING,2026-03-17T09:00:00+00:00,2026-03-17T09:00:00+00:00
34,13,13,2,5,2026-03-12,18:00:00,21:30:00,210,MANPOWER_SHORTAGE,,APPROVED,2026-03-12T09:00:00+00:00,2026-03-13T13:00:00+00:00
35,13,13,2,5,2026-03-15,18:00:00,20:00:00,120,OTHER,Cabin scope delayed,CANCELLED,2026-03-15T09:00:00+00:00,2026-03-15T12:00:00+00:00
36,15,15,4,11,2026-03-01,18:00:00,23:00:00,300,BACKLOG,,APPROVED,2026-03-01T09:00:00+00:00,2026-03-02T13:00:00+00:00
